OBJECTID,nazev,oznaceni,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
1,"Adršpach,Dolní Adršpach,zámek",38,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.618616 16.108505),16.108505,50.618616,AZI1
2,"Adršpach,Dolní Adršpach,zámek",38,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.618711 16.108444),16.108444,50.618711,AZI2
3,"Adršpach,Dolní Adršpach,odb.Zdoňov",39,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.616431 16.132747),16.132747,50.616431,AZI3
4,"Adršpach,Dolní Adršpach,odb.Zdoňov",39,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.616562 16.132786),16.132786,50.616562,AZI4
5,"Adršpach,Horní Adršpach,žel.zast.",40,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.624189 16.083921),16.083921,50.624189,AZI5
6,"Adršpach,Horní Adršpach,žel.zast.",40,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.624284 16.083565),16.083565,50.624284,AZI6
7,"Adršpach,Dolní Adršpach,skály",41,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.61706 16.121417),16.121417,50.61706,AZI7
8,"Adršpach,Dolní Adršpach,skály",41,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,POINT(50.617155 16.121367),16.121367,50.617155,AZI8
9,"Albrechtice n.Orl.,,obchodní centrum",59,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Albrechtice nad Orlicí,576077,POINT(50.144239 16.06185),16.06185,50.144239,AZI9
10,"Albrechtice n.Orl.,,obchodní centrum",59,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Albrechtice nad Orlicí,576077,POINT(50.144319 16.061564),16.061564,50.144319,AZI10
11,"Nová Ves,,Kvartýr",60,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Albrechtice nad Orlicí,576077,POINT(50.137986 16.039748),16.039748,50.137986,AZI11
