OBJECTID,nazev,oznaceni,typ,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
1,Doudleby nad Orlicí,532606,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Doudleby nad Orlicí,576301,POINT(50.1101 16.26),16.26,50.1101,ZST35
2,Vamberk,541607,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Vamberk,576883,POINT(50.1188 16.2843),16.2843,50.1188,ZST171
3,Záměl,532705,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Záměl,576921,POINT(50.1009 16.2982),16.2982,50.1009,ZST181
4,Peklo nad Zdobnicí,541904,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Vamberk,576883,POINT(50.1228 16.307),16.307,50.1228,ZST113
5,Potštejn,532804,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Potštejn,576671,POINT(50.0845 16.3166),16.3166,50.0845,ZST121
6,Starkoč,574806,stanice,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Studnice,574481,POINT(50.4119 16.1021),16.1021,50.4119,ZST151
7,Řešetova Lhota,574905,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Studnice,574481,POINT(50.4312 16.1042),16.1042,50.4312,ZST136
8,Hodkovice u Trutnova,573600,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Jívka,579378,POINT(50.6055 16.0733),16.0733,50.6055,ZST38
9,Rtyně v Podkrkonoší zastávka,574608,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Rtyně v Podkrkonoší,579637,POINT(50.5003 16.0925),16.0925,50.5003,ZST130
10,Janovice u Trutnova,573402,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Jívka,579378,POINT(50.5878 16.0862),16.0862,50.5878,ZST56
