ObjectId,linka_1,licence_1,spoj_1,dopravce_1,tarifni_cislo_1,prijezd_1,ceka_1,odjezd_1,zastavka_crz,zastavka_nazev,vycka,typ,linka_2,licence_2,spoj_2,dopravce_2,z_do,cas,dp_id
1,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,3,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 04:08:00+00,CDAL201
2,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 102,611102,3,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 04:08:00+00,CDAL202
3,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 150,611150,4,BusLine KHK s.r.o.,Jičín,2021/10/08 04:07:00+00,CDAL203
4,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 152,611152,1,BusLine KHK s.r.o.,Chlumec n.Cidl.,2021/10/08 04:08:00+00,CDAL204
5,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 155,611155,4,BusLine KHK s.r.o.,Vysoké Veselí,2021/10/08 04:08:00+00,CDAL205
6,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 156,611156,3,BusLine KHK s.r.o.,Hořice,2021/10/08 04:02:59+00,CDAL206
7,IREDO 153,611153,5,BusLine KHK s.r.o.  ,1,2021/10/08 09:01:59+00,0,2021/10/08 09:01:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,11,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 08:53:00+00,CDAL207
8,IREDO 153,611153,5,BusLine KHK s.r.o.  ,1,2021/10/08 09:01:59+00,0,2021/10/08 09:01:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 156,611156,7,BusLine KHK s.r.o.,Hořice,2021/10/08 08:58:00+00,CDAL208
9,IREDO 153,611153,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:25:00+00,0,2021/10/08 12:25:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,19,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 12:20:59+00,CDAL209
10,IREDO 153,611153,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:25:00+00,0,2021/10/08 12:25:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,52,BusLine KHK s.r.o.,Chlumec n.Cidl.,2021/10/08 12:22:00+00,CDAL210
11,IREDO 153,611153,9,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 101,611101,31,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 14:53:00+00,CDAL211
12,IREDO 153,611153,9,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 151,611151,20,BusLine KHK s.r.o.,Chlumec n.Cidl.,2021/10/08 14:58:59+00,CDAL212
13,IREDO 153,611153,9,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 155,611155,18,BusLine KHK s.r.o.,Vysoké Veselí,2021/10/08 14:58:00+00,CDAL213
14,IREDO 154,611154,3,BusLine KHK s.r.o.  ,1,2021/10/08 07:40:00+00,0,2021/10/08 07:40:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 102,611102,11,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 07:33:00+00,CDAL214
15,IREDO 154,611154,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:59:59+00,0,2021/10/08 12:59:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,21,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 12:53:00+00,CDAL215
16,IREDO 154,611154,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:59:59+00,0,2021/10/08 12:59:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,16,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 12:59:00+00,CDAL216
17,IREDO 154,611154,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:59:59+00,0,2021/10/08 12:59:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 155,611155,14,BusLine KHK s.r.o.,Vysoké Veselí,2021/10/08 12:58:00+00,CDAL217
18,IREDO 154,611154,9,BusLine KHK s.r.o.  ,1,2021/10/08 16:05:00+00,0,2021/10/08 16:05:00+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 101,611101,33,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 15:53:00+00,CDAL218
19,IREDO 154,611154,9,BusLine KHK s.r.o.  ,1,2021/10/08 16:05:00+00,0,2021/10/08 16:05:00+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 151,611151,22,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 16:04:00+00,CDAL219
20,IREDO 154,611154,9,BusLine KHK s.r.o.  ,1,2021/10/08 16:05:00+00,0,2021/10/08 16:05:00+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 155,611155,20,BusLine KHK s.r.o.,Hořice - Vysoké Veselí,2021/10/08 15:58:00+00,CDAL220
21,IREDO 154,611154,4,BusLine KHK s.r.o.  ,24,2021/10/08 09:04:59+00,0,2021/10/08 09:04:59+00,15296,"Kopidlno,žel.st.",10,vlak,VLAK,15810,,"České dráhy, a.s.",Jičín,2021/10/08 09:00:00+00,CDAL221
22,IREDO 154,611154,8,BusLine KHK s.r.o.  ,23,2021/10/08 15:08:00+00,0,2021/10/08 15:08:00+00,15294,"Kopidlno,nám.",10,bus,IREDO 516,631516,17,BusLine KHK s.r.o.,Jičín,2021/10/08 14:58:59+00,CDAL222
23,IREDO 154,611154,8,BusLine KHK s.r.o.  ,24,2021/10/08 15:04:59+00,0,2021/10/08 15:04:59+00,15296,"Kopidlno,žel.st.",15,vlak,VLAK,15820,,"České dráhy, a.s.",Jičín,2021/10/08 15:00:00+00,CDAL223
24,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,1,BusLine KHK s.r.o.,Nechanice,2021/10/08 03:08:00+00,CDAL224
25,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 102,611102,1,BusLine KHK s.r.o.,Kosice,2021/10/08 03:08:00+00,CDAL225
26,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 150,611150,2,BusLine KHK s.r.o.,Kozojedy,2021/10/08 03:07:00+00,CDAL226
27,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 153,611153,2,BusLine KHK s.r.o.,Městec Králové,2021/10/08 03:07:00+00,CDAL227
28,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 156,611156,1,BusLine KHK s.r.o.,Šaplava,2021/10/08 03:07:00+00,CDAL228
29,IREDO 155,611155,5,BusLine KHK s.r.o.  ,14,2021/10/08 04:24:00+00,1,2021/10/08 04:25:00+00,40906,"Vysoké Veselí,nám.",5,bus,IREDO 508,631508,205,BusLine KHK s.r.o.,Jičín,2021/10/08 04:25:00+00,CDAL229
30,IREDO 155,611155,9,BusLine KHK s.r.o.  ,1,2021/10/08 09:01:59+00,0,2021/10/08 09:01:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,11,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 08:53:00+00,CDAL230
31,IREDO 155,611155,9,BusLine KHK s.r.o.  ,14,2021/10/08 09:29:00+00,1,2021/10/08 09:30:00+00,40906,"Vysoké Veselí,nám.",3,bus,IREDO 508,631508,9,BusLine KHK s.r.o.,Jičín,2021/10/08 09:22:00+00,CDAL231
32,IREDO 155,611155,13,BusLine KHK s.r.o.  ,1,2021/10/08 12:01:59+00,0,2021/10/08 12:01:59+00,63117,"Nový Bydžov,Terminál HD",3,bus,IREDO 101,611101,17,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 11:53:00+00,CDAL232
33,IREDO 155,611155,13,BusLine KHK s.r.o.  ,1,2021/10/08 12:01:59+00,0,2021/10/08 12:01:59+00,63117,"Nový Bydžov,Terminál HD",3,bus,IREDO 151,611151,14,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 11:58:59+00,CDAL233
34,IREDO 155,611155,17,BusLine KHK s.r.o.  ,1,2021/10/08 13:02:00+00,0,2021/10/08 13:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,21,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 12:53:00+00,CDAL234
35,IREDO 155,611155,17,BusLine KHK s.r.o.  ,1,2021/10/08 13:02:00+00,0,2021/10/08 13:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,16,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 12:59:00+00,CDAL235
36,IREDO 155,611155,17,BusLine KHK s.r.o.  ,14,2021/10/08 13:28:59+00,1,2021/10/08 13:30:00+00,40906,"Vysoké Veselí,nám.",3,bus,IREDO 508,631508,15,BusLine KHK s.r.o.,Jičín,2021/10/08 13:21:59+00,CDAL236
37,IREDO 155,611155,19,BusLine KHK s.r.o.  ,1,2021/10/08 14:02:00+00,0,2021/10/08 14:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,27,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 13:53:00+00,CDAL237
